r,p,sample_size,population_r
0.1218794658749832,0.6087346080034068,20,0.25
0.16811814530141492,0.47863231759312475,20,0.25
0.5351071571041391,0.01504899106581918,20,0.25
0.21002153950645558,0.37414352999268574,20,0.25
0.12849920953141192,0.589258772415273,20,0.25
0.4467355279310715,0.04830586752451792,20,0.25
0.4948128932921306,0.02655178533956881,20,0.25
-0.06825424379118213,0.7749384873207386,20,0.25
0.35072798492885243,0.12948239223720379,20,0.25
-0.01407022083779744,0.9530517712095095,20,0.25
-0.012310105096602528,0.9589196799005559,20,0.25
-0.12766162164255698,0.591708454384485,20,0.25
0.7271488183767284,2.8069815750773007e-4,20,0.25
0.14715241551136532,0.5358524636239603,20,0.25
0.10438284732843478,0.6614180416575133,20,0.25
0.44763208290114526,0.047803570280454004,20,0.25
0.36099366285141615,0.11788047513549668,20,0.25
0.6458911658431122,0.002095855877001527,20,0.25
0.3469969492121357,0.13389306114193875,20,0.25
0.3119204427853341,0.18062868379785613,20,0.25
0.20964805246952878,0.37501324073077114,20,0.25
0.26286399919278175,0.2628400727383688,20,0.25
0.3171928984105912,0.17298025528981426,20,0.25
0.10229947410425992,0.6678008230623347,20,0.25
-0.0526318530561991,0.8255805554355916,20,0.25
0.3098308593971409,0.18372240145721325,20,0.25
0.1954271486098369,0.4089696127967526,20,0.25
0.4473748705562477,0.047947262325642614,20,0.25
0.45650132387143366,0.043047783588332326,20,0.25
0.33268744158120594,0.1517924834358418,20,0.25
-0.048730397333167794,0.8383400752790098,20,0.25
0.2330002018482758,0.32285423231634136,20,0.25
0.22620301451968017,0.3375675962650123,20,0.25
0.4117674254310371,0.07124535760369542,20,0.25
0.5244760635958309,0.017594119049439316,20,0.25
-0.02539164017354908,0.9153763055073931,20,0.25
0.342293881505063,0.1396026936227745,20,0.25
0.0774007349659169,0.7456765521076693,20,0.25
0.08050428590532471,0.7358210517076225,20,0.25
0.2982324242748377,0.20154562301459822,20,0.25
-0.01801521180133222,0.9399087637658972,20,0.25
0.24281254968939436,0.3023007806129196,20,0.25
-0.026610503372159172,0.9113291264110402,20,0.25
0.08109211019761202,0.7339587981707154,20,0.25
0.2825317564554357,0.22745347170697916,20,0.25
0.3848020046868829,0.09387396272534969,20,0.25
0.5345536678413055,0.015173738316896477,20,0.25
0.14457133549824422,0.5431073506069461,20,0.25
0.31403861564954766,0.17752890467713345,20,0.25
-0.03385582433410281,0.8873179752377169,20,0.25
-0.17527628354424285,0.4598229155930612,20,0.25
0.3435990163089219,0.1380013700803399,20,0.25
0.1403285522402217,0.5551291060739514,20,0.25
0.4636454508362322,0.03948963755387256,20,0.25
0.02787405810310277,0.9071357705856099,20,0.25
0.4715850372151895,0.035807362928770944,20,0.25
0.014590288911379645,0.9513183899395732,20,0.25
0.44144725759660736,0.0513514503194113,20,0.25
0.4464476998615793,0.04846797916084032,20,0.25
-0.08046253479236101,0.7359533752052718,20,0.25
0.4786534488237345,0.0327592631712442,20,0.25
0.6067410123480397,0.004560686606676582,20,0.25
0.6387047978917446,0.0024363177809394836,20,0.25
0.1665559133793104,0.48278775477141567,20,0.25
0.316089058707312,0.17456290268619004,20,0.25
0.09512177042760539,0.6899572988234675,20,0.25
0.45641002545948745,0.043094802077856716,20,0.25
0.31121857382605705,0.18166386154360245,20,0.25
-0.2307156414854388,0.3277561640945428,20,0.25
0.0046157340636266,0.9845913836075212,20,0.25
0.3025274064102059,0.19481630032778113,20,0.25
0.2419413761899087,0.30409264301483263,20,0.25
0.4966405482701566,0.02591265124640066,20,0.25
0.30349125160614315,0.19332710772470565,20,0.25
0.23343156363005277,0.3219335984751923,20,0.25
0.0797497863184363,0.7382134193772831,20,0.25
0.5290684570426835,0.016455497879688127,20,0.25
0.35825571913921184,0.12089906225500564,20,0.25
0.2658225583566976,0.2573072134114857,20,0.25
0.08202556462135306,0.7310045134715994,20,0.25
0.1413408306747643,0.5522500977527869,20,0.25
0.2605625036577467,0.26719562896776294,20,0.25
0.2964164398928442,0.20443688619024797,20,0.25
0.20689569954750328,0.38145755534802295,20,0.25
-0.23036335298322233,0.3285159672947334,20,0.25
0.4255326024079366,0.061406058756092854,20,0.25
0.40138686922141337,0.07941225310883629,20,0.25
0.4144111789207244,0.06926972512281569,20,0.25
0.03670975286091384,0.8778847440849442,20,0.25
0.34632162000217165,0.13470260957528632,20,0.25
0.17695820963147743,0.4554589409357064,20,0.25
0.2715912725225787,0.24673296089848226,20,0.25
0.4283989271866856,0.059493423796152044,20,0.25
-0.04663266039376983,0.8452169211112948,20,0.25
0.20165984842967072,0.21209229102488164,40,0.25
0.37136714645226626,0.01830835074401928,40,0.25
0.15234081720455367,0.3480240904358418,40,0.25
0.16964283356465423,0.2953291450934212,40,0.25
0.03945680514118138,0.8089911895975943,40,0.25
0.19927474461748282,0.21766212303103635,40,0.25
0.31354345285949503,0.04882270806825589,40,0.25
0.05066928194343387,0.7561819877635266,40,0.25
